标识,中文,英文,原始翻译,比较
jinBiTiaoZhengYi,金币调整 - 一次审核,Coin adjustment - First review,gold coins adjustment - first review,0
shenHeChengGong,审核成功~,Reviewed,approved,0
buKeChaoGuoWei,不可超过100位字符,Limit to 100 characters.,not more than 100 characters,0
buTongGuoShenHe,不通过审核,Rejected,rejected,1
tongGuoShenHe,通过审核,Approved,approved,1
tiaoZhengShuLiang,调整数量,Adjust quantity,quantity adjustment,0
danBiADJ,单笔≤{val1},Single transaction ≤ {val1},single transaction≤{val1},0
jinBiShuLiang,金币数量,Coin quantity,quantity of gold coin,0
jinBiTiaoZhengShen,金币调整申请,Coin adjustment request,gold coins adjustment application,0
zhangHaoSUC,账号 {val1} 金币调整申请成功,Coin adjustment for account {val1} requested,account {val1} gold coins adjustment application is successful,0
zhangHaoINV,账号 {val1} 不存在,Account {val1} does not exist.,account {val1} does not exist,0
shenHeRen,审核人:,Reviewer:,reviewer:,1
erShenTongGuo,二审通过,Final review approved,second review approved,0
erShenBuTongGuo,二审不通过,Final review rejected,second review rejected,0
yiShenTongGuo,一审通过,First review approved,first review approved,1
yiShenBuTongGuo,一审不通过,First review rejected,first review rejected,1
lABEL,{val1}次,{val1},{val1}times,0
duiHuanXianZhi,兑换限制,Redemption restrictions,redemption restrictions,1
jinBiJiaZhi,金币价值,Coin value,gold coins value,0
shangDianMingCheng,商店名称,Store name,store name,1
jiangPinLeiXing,奖品类型,Prize type,prize type,1
duiHuanShiJian,兑换时间,Redemption time,redemption time,1
qingShuRuDanRi,请输入单日上限,Enter a daily limit.,please enter a daily limit,0
danRiShangXianJin,单日上限金币,Daily coin limit,daily limit of gold coins,0
vIPDengJi,VIP 等级,VIP level,VIP Grade,0
baoCunChengGong,保存成功~,Saved,saved successfully~,0
kaiFang,开放,Issue,open,0
houTaiJinBiJi,后台金币计算,Backend coin calculation,the calculate of backend gold coins amount,0
qianDuanRuKou,前端入口,Front-end portal,frontend entry,0
jinBiKaiFangPei,金币开放配置,Coin issuance configuration,gold coins open configuration,0
renWuJinBiPei,任务金币配置,Task coin configuration,gold coins mission configuration,0
touZhuJinBiPei,投注金币配置,Betting coin configuration,gold coins betting configuration,0
kaiGuan,开关,Switch,on/off,0
qingShuRuShuLiang,请输入数量,Enter the quantity.,please enter the quantity,0
jiangLiJinBi,奖励金币,Reward coin,gold coins reward,0
renWuNeiRong,任务内容,Task details,mission description,0
renWuMingCheng,任务名称,Task name,name of mission,0
renWuMingChengBi,任务名称必填~,Task name required,mission name is required~,0
bianDongHouJinBi,变动后金币,Coins after change,gold coins after change,0
jinBiBianHua,金币变化,Coin change,gold coins change,0
bianDongQianJinBi,变动前金币,Coins before change,gold coins before change,0
jiaoYiHao,交易号,Transaction No.,transaction number,0
wuXiFenLeiXing,无细分类型,No breakdown type,no segment type,0
duiHuanWuXiFen,兑换无细分类型,No breakdown type for redemption,redeem no segment type,0
guanKanZhuBo,观看主播,Watch streamer,watch live host,0
meiRiChongZhi,每日充值,Daily top-up,daily deposit,0
meiRiDengLu,每日登录,Daily login,daily log in,0
xiaoFeiBaoLiaoFang,消费-爆料方案,Consumption - Tip scheme,consumption-prediction scheme,0
xiaoFeiZhiBoDa,消费-直播打赏,Consumption  Reward live streamers,consumption-live rewards,0
huoDong,活动,Activity,promotion,0
xiaoFei,消费,Consumption,consumption,1
zhouQiRenWu,周期任务,Periodic task,periodic mission,0
shouDongTiaoZheng,手动调整,Manual adjustment,manual adjustment,1
duiHuan,兑换,Redemption,redeem,0
renWu,任务,Task,missions,0
jinBiMeiRiFa,金币每日发放,Coins are issued daily.,gold coins are issued daily,0
meiRiGuanKanZhu,每日观看主播任务,Daily streamer watching task,daily watch live host mission,0
meiRiChongZhiRen,每日充值任务,Daily top-up task,daily deposit mission,0
meiRiDengLuRen,每日登录任务,Daily login task,daily login mission,0
xuanZhuan,旋转,Rotate,rotate,1
zhaKanYuanTu,查看原图,View original image,view original image,1
zhangHuEYuE,账户额余额,Account balance,account balance,1
weiHuoQuDaoCi,未获取到此设备号,Failed to get the device number,the device number was not obtained,0
sheBeiHaoDengLu,设备号(登录次数/占比),Device number (logins/proportion),device number (number of logins/proportion),0
biaoQian,标签,Tag,tag,1
zhuYiPCDuan,注意：PC端、H5端设备号只做参考，IOS和Android相对准确,"Note: Device numbers displayed on PC and H5 are for reference only, and those on IOS and Android are accurate.","Note: PC and H5 device numbers are for reference only, IOS and Android are relatively accurate",0
gong,共,Total,total,1
chaXunRiQiQu,查询日期区间不能超过90天,The query date range cannot exceed 90 days.,The query date range cannot exceed 90 days,0
tOSWI,{val1}设备号,{val1}device number,{val1}device number,1
xianShiBiaoQian,显示标签,Show tag,showing tag,0
qingXuanZeFengXian,请选择风险标签,Select a risk tag.,please select a risk tag,0
fengXianBiaoQian,风险标签,Risk tag,risk tag,1
xiuGaiCengJi,修改层级,Modify level,admend level,0
xiuGaiYongHuCeng,修改用户层级,Modify user level,admend user level,0
shenQingSuoDing,申请：锁定,Request: Lock,apply:locking,0
qingKong,清空,Clear,empty,0
yiJingXuanZe,已经选择,Selected,selected,1
qingTianXieSuoDing,请填写锁定原因,Enter the reason for lock.,Please fill in the reason for locking,0
shenQingSuoDingYuan,申请锁定原因:,Reason for lock:,reason of apply for locking ,0
qingXuanZeSuoDing,请选择锁定方式,Select a lock method.,please select the way of locking ,0
yongHuKeYiDeng,用户可以登录，不可投注，不可冲转提,"Users can log in, but they can't bet, top up, withdraw, or transfer.","Users can login, but cannot bet ,deposit or withdraw.",0
shanChuBangDingYou,删除绑定邮箱,Unbind email,delete bind email,0
suoDingFangShi,锁定方式:,Lock method:,the way of locking ,0
dangQianCengJi,当前层级,Current level,current level,1
cengJiXiuGaiWei,层级修改为：,Level modified to:,amend level as,0
weiXieDengJi,威胁等级,Threat level,threat level,1
yinHangKaXingMing,银行卡姓名,Bank card name,name on bank card,0
gongTOTA,共 {val1}条记录 第 {val2} / {val3},{val1} records in total. Page {val2}/{val3},total {val1}record no. {val2} / {val3},0
dengJi,等級－,Level -,level -,1
xiuGaiCengJiCheng,修改层级成功,Level modified,level admended successfully,0
xiaZaiShiBai,下载失败,Download failed.,download failed,0
wuKeDaoChuDe,无可导出的数据,No data to export,non export data,0
xiaZaiShiBaiMing,下载失败名单,Download failure list,download failed list,0
fanHuiGengXinYe,返回更新页,Return to update page,back to refresh page,0
tiao,条,Entries,bar,0
chengGongChaXunDao,成功查询到,Found,searched successfully,0
gengXinWaiBuFeng,更新外部风险结果完成,External risk results updated,update external risk results completed,0
wuGengXinShiBai,无更新失败列表,No update failure list,no update failure list,1
meiCiZhiNengGeng,每次只能更新一个账号,Only one account can be updated at a time.,only one account can be updated at a time,0
zhangHuMing,账户名:,Account name:,account name:,1
iPGuiShuDi,IP归属地,IP address based in,IP attribution,0
iPDiZhiDeng,IP地址(登录次数/占比),IP address (logins/proportion),IP address (times of logins/proportion),0
dengLuZongCiShu,登录总次数,Total logins,total logins times,0
liuLanQiBanBen,浏览器版本,Browser version,browser version,1
dengLuIPDi,登录IP地址,IP address,login IP address,0
dengLuWangZhi,登录网址,Login URL,login address,0
dengLuShiJian,登录时间,Login time,login time ,0
zaiXianYongHu,在线用户,Online user,online user,1
iPDiZhi,IP地址,IP address,IP address,1
shenQingLiYou,申请理由,Request reason,reason of apply,0
bianGengHou,变更后,After change,after change,1
bianGengQian,变更前,Before change,before change,1
bianGengShiJian,变更时间,Change time,time of change,0
sheZhiWeiHuoDong,设置为活动好友,Set as active friend,set as event friend,0
sheZhiWeiPuTong,设置为普通好友,Set as ordinary friend,set as normal friend,0
sheBeiHaoXinXi,设备号信息,Device number info,device number information,0
shouYaoRenShouChong,受邀人首充奖励,First top-up reward for invitee,first deposit reward of invitee,0
yaoQingRenShouChong,邀请人首充奖励,First top-up reward for inviter,first deposit reward of inviter,0
shouChongJinE,首充金额,First top-up reward,first deposit amount,0
haoYouYongHuLei,好友用户类型,Friend type,friend user type,0
shouChongShiJian,首充时间,First top-up time,first deposit time,0
yaoQingRenVI,邀请人vip等级,Inviter VIP level,inviter VIP level,1
yaoQingRenZhangHao,邀请人账号,Inviter account,inviter account,1
zongJi,总计:,Total:,total,0
shouYaoRenZhangHao,受邀人账号,Invitee account,invitee account,1
haoYouLeiXing,好友类型,Friend type,friend Type,1
zanTingJiangLi,暂停奖励,Pause reward,rewards pause,0
kaiQiJiangLi,开启奖励,Enable reward,rewards turn on,0
zhaKanXiangQing,查看详情,View details,check details,0
weiJieSuanLiuShui,未结算流水奖励：,Unsettled turnover reward:,unsettled turnover bonus:,0
leiJiLiuShuiJiang,累计流水奖励：,Cumulative turnover reward:,accumulative turnover bonus:,0
leiJiShouCunJiang,累计首存奖励：,Cumulative first deposit reward:,accumulative first deposit bonus:,0
jiangLiTongJi,奖励统计,Reward statistics,reward statistics,1
huoDongYaoQingHao,活动邀请好友总数,Total number of friends invited to the event,total number of friends invited by the event,0
yaoQingHaoYouZong,邀请好友总数,Total number of invited friends,total number of friends invited,0
quanTiHuiYuanZong,全体会员总计：,Total number of members:,total members:,0
yaoQingRenLieBiao,邀请人列表,Inviter list,list of inviters,0
shouYaoRenLieBiao,受邀人列表,Invitee list,list of invitees,0
qingShuRuXiuGai,请输入修改理由,Enter a reason for modification.,please enter the reason for amend,0
ma,吗？,?,Yes?,0
queDingYao,确定要,Confirm to,confirmed,0
tITLE,{val1}（{val2}）,{val1} ({val2}),{val1}（{val2}）,0
yongHuSHO,用户 {val1} 的好友变更记录,User {val1}'s friend change history,user's {val1} friends changing record,0
tITLE,{val1}（{val2}）,{val1} ({val2}),{val1}（{val2}）,0
haoYouXuNiBi,好友虚拟币奖励,Friend cryptocurrency reward,friend virtual currency rewards,0
haoYouVIP,好友VIP奖励,Friend VIP reward,friend VIP rewards,0
pingTaiLiuShuiFen,平台流水分成,Platform turnover split,platform turnover dividen,0
haoYouTuiJianShe,好友推荐设置,Friend recommendation settings,recommend friends settings,0
huiFuShangCiShe,恢复上次设置,Restore last settings,restore previous settings,0
liuShuiJiangLiBai,流水奖励百分比,Turnover reward percentage,turnover bonus percentage,0
pingTaiMingCheng,平台名称,Platform name,platform name,1
liuShuiLiJinTi,流水礼金提现倍数,Wagering requirement for turnover bonus,multiple of turnover bonus withdraw ,0
youXiaoShouCunJin,有效首存金额,Effective first deposit amount,valid first deposit amount,0
qingShuRuXiaXian,请输入下限,Enter a lower limit.,please enter a lower limit,0
qingShuRuShangXian,请输入上限,Enter an upper limit.,please enter a upper limit,0
liuShuiBeiShu,流水倍数,Wagering requirement,multiple of turnover,0
shouYaoRenShouCun,受邀人首存奖励,First deposit reward for invitee,first deposit bonus of invitee,0
yaoQingRenShouCun,邀请人首存奖励,First deposit reward for inviter,first deposit bonus of inviter,0
qingXuanZeYaoQing,请选择邀请人条件,Select inviter conditions.,Please select requirement for inviter,0
yaoQingRenTiaoJian,邀请人条件,Inviter conditions,requirement for inviter,0
huoDongJinXingShi,活动进行时间,Event time,activity time,0
biTian,必填,Required,required,1
qingShuRuTiKuan,请输入提款倍数,Enter the wagering requirement.,please enter the withdrawal multiple,0
jiangPinSheZhi,奖品设置,Prize settings,prize settings,1
daYuZhengShu,大于0整数,An integer greater than 0,integer greater than 0,0
leiJiYouXiaoYao,累计有效邀请,Cumulative valid invitations,acummulative of valid invitations,0
haoYouLeiJiXu,好友累计虚拟币充值金额,Friend's cumulative cryptocurrency top-up amount,accumulative of friend's virtual currency deposit amount,0
zhiShaoXuYaoBao,至少需要保留一项,At least one item reserved,at least one item has to be kept,0
jiangLiJinE,奖励金额,Bonus amount,reward amount,0
sheZhiChengGong,设置成功！,Set.,set up successfully!,0
